record_type,id,summary,priority,severity,status,owner,target_milestone,notes,last_updated,maintainer_signoff
status_taxonomy,OPEN,"Triaged backlog item awaiting active remediation planning",,,,,,,,
status_taxonomy,IN_PROGRESS,"Owner actively executing remediation; updates required in weekly status brief",,,,,,,,
status_taxonomy,BLOCKED,"Remediation cannot proceed due to external dependency; document blocker and escalation path in notes",,,,,,,,
status_taxonomy,READY_FOR_REVIEW,"Remediation change implemented and pending maintainer validation/QA sign-off",,,,,,,,
status_taxonomy,RESOLVED,"Fix merged and validated against regression and parity harnesses; awaiting final maintainer sign-off",,,,,,,,
status_taxonomy,RETIRED,"Intentional gap with mitigation approved and migration documentation published; requires maintainer acknowledgment",,,,,,,,
owner_roster,@tlc-engine,"Engine & fingerprint maintainers responsible for exploration core parity",,,,,,,,
owner_roster,@tlc-cli,"CLI and user experience maintainers accountable for command surface and output formatting",,,,,,,,
owner_roster,@tlc-docs,"Documentation maintainers responsible for migration guides and release notes",,,,,,,,
owner_roster,@tlc-telemetry,"Telemetry and tool-mode maintainers ensuring diagnostics and message catalog fidelity",,,,,,,,
issue,BL-001,"Vendor and validate TLC message catalog (MP/EC codes) identical to Java baseline",P0,critical,OPEN,@tlc-telemetry,US1,"Extract EC.java/MP.java catalog into Rust workspace and add golden diff coverage in parity harness",2025-11-03,
issue,BL-002,"Replicate legacy progress summary and final statistics banners in new CLI output",P1,major,OPEN,@tlc-cli,US1,"Design output formatter preserving MP codes for console summaries and final stats (parity-ledger §§461-462)",2025-11-03,
issue,BL-003,"Honor legacy logging toggles (-debug,-nowarning,-terse,-userFile) with identical routing semantics",P1,major,OPEN,@tlc-cli,US1,"Specify stdout/stderr routing and tool-mode framing so toggles match Java semantics (parity-ledger §464)",2025-11-03,
issue,BL-004,"Document removal and migration path for `_PERIODIC` operator",P1,major,RETIRED,@tlc-docs,Foundation,"Mitigation documented in docs/migration/tlc-rust.md (§ Legacy Hooks) and release comms tracked under T018; intentional gap approved for retirement.",2025-11-03,"@tlc-maintainers (2025-11-03 migration review)"
issue,BL-005,"Document retirement of reinforcement-learning reward hook `_RL_REWARD`",P1,major,RETIRED,@tlc-docs,Foundation,"Release notes and migration guidance published in docs/migration/tlc-rust.md (§ Legacy Hooks) with alternative simulator guidance; gap accepted by maintainers.",2025-11-03,"@tlc-maintainers (2025-11-03 migration review)"
issue,BL-006,"Inventory and prioritize legacy warning catalog gaps impacting release readiness",P0,critical,OPEN,@tlc-telemetry,Foundation,"Compile release-blocking MP/EC warnings lacking parity coverage and tie into forthcoming parity harness diff tests (parity-ledger §463)",2025-11-03,
